40000 29 515 
39574 18623 S 9
2540 29762 D 15
2388 31983 T 8
25981 35802 T 17
15038 4353 D 13
8081 14610 D 12
6925 32266 S 5
504 11766 S 18
26741 4780 S 16
34542 10773 T 9
2755 24966 S 15
20767 17272 S 18
17976 303 S 5
11264 16524 D 5
5141 31617 S 4
39735 15282 D 5
20061 1600 T 6
8724 10696 D 3
32013 8128 S 9
21751 14764 T 16
11418 39194 D 2
15717 23123 T 4
14740 1519 T 5
13152 24924 S 13
22875 5757 T 12
12804 4752 D 4
12879 35994 D 13
7109 11586 S 15
10780 9192 D 7
32314 34779 S 3
36297 22908 S 11
4183 7881 T 8
9989 39528 D 14
4279 14436 D 6
6781 34258 D 4
5844 31547 S 6
37090 26323 S 11
21101 32230 T 14
11490 39741 T 13
3974 18559 S 17
18086 14088 D 18
28523 17065 T 10
7674 33066 S 19
20964 30660 T 5
16983 15017 T 13
3598 29318 S 4
25411 31379 D 7
9937 26191 T 3
279 32802 D 1
6218 28019 T 13
17436 18702 D 10
9362 2955 S 6
14323 9314 T 14
34983 25313 S 3
16692 20117 D 9
6307 2177 S 4
31330 39500 T 2
23871 37601 S 9
16302 31550 T 15
30856 1563 S 17
10876 25488 T 13
7152 16104 T 4
32572 21435 T 1
23611 3232 S 19
2732 22608 D 15
16560 16629 S 4
8179 16667 D 4
14582 23233 S 10
5072 23661 S 15
39764 2974 T 17
24408 31944 D 1
31528 22082 T 2
1041 24500 D 15
1128 37822 D 9
14489 25336 S 7
4920 1607 T 5
25267 31249 S 13
34222 7336 T 17
35632 37631 S 2
19713 35010 T 4
19509 31332 T 6
29153 5165 S 2
26852 23689 T 8
21647 32644 S 5
23892 5736 S 9
13072 34713 S 15
32344 8794 T 11
3803 6333 D 16
37664 20216 T 15
21732 15649 T 2
35690 8574 D 1
37569 23875 T 17
29611 5246 S 19
39959 25368 S 15
34161 29004 S 13
35336 18924 D 12
39140 6982 D 15
18982 32030 T 8
36956 15215 D 12
35441 8959 S 2
10556 11907 D 17
33627 20875 D 17
9878 32579 T 6
11503 32432 S 5
35765 39785 D 14
28166 6373 D 17
17939 10479 T 18
15789 28332 S 6
36590 11570 S 15
28796 28729 S 19
21307 36456 D 7
25240 23857 T 10
19993 16722 T 15
23094 14223 T 1
24701 5627 D 2
33958 38249 D 10
6170 16395 T 3
5123 35117 T 11
27924 22932 D 3
3140 4448 D 15
21169 22620 T 13
36842 17272 S 19
19250 1465 T 18
39714 1569 T 16
17963 17219 S 14
8687 19894 T 10
2826 14160 S 14
14959 291 T 13
19263 13090 T 11
30361 27442 T 17
25259 5085 D 4
3005 15624 S 10
29195 17110 D 18
37003 38975 T 1
9486 616 D 10
37258 23945 S 1
33386 2719 T 16
30161 12029 S 17
13466 1578 T 9
17201 16651 S 1
30112 26897 T 16
25871 31470 T 12
28437 14494 S 7
34790 29427 S 8
32146 16597 T 16
24978 30682 T 13
32259 19873 S 15
36523 1405 D 17
24653 5537 S 15
37007 22450 S 16
33296 18384 S 7
4162 35111 D 15
8059 13587 D 9
4269 1743 D 16
21615 35446 S 16
33202 3600 D 13
9136 280 S 7
19081 26960 T 12
5343 24481 D 5
15943 5776 T 5
19362 13479 D 12
15221 37571 D 12
33016 7902 S 1
11501 1504 D 18
38135 25151 T 1
12110 122 S 12
24603 22755 T 10
24882 21823 S 19
35301 30639 T 15
28209 33437 D 6
1338 4089 D 7
1944 565 S 1
22067 2012 S 16
2134 39586 D 15
18692 23993 D 15
5815 882 D 19
31520 28392 T 4
21828 4401 D 10
8489 37446 D 12
38010 11237 T 16
13249 20504 D 14
16442 14937 T 18
35281 14804 T 12
12037 39225 T 3
27616 2902 D 6
7302 13289 T 19
7086 14018 D 5
25254 25785 T 6
6289 28480 S 9
39768 5055 S 2
16211 5623 T 17
4847 31056 T 2
33957 4141 D 9
13782 23567 S 15
33936 28677 S 4
14461 36541 T 11
21372 16981 D 10
22036 6748 T 19
12370 1384 D 14
28791 10998 T 6
11491 4286 D 13
24204 26461 S 10
15137 17508 S 10
10400 425 D 19
17406 39231 T 13
5978 18152 T 15
15887 13233 S 5
20583 34297 D 17
34934 484 D 18
23296 8889 T 2
22748 23658 D 3
24082 27429 T 19
26660 30532 S 4
5035 24020 D 12
37253 35603 S 7
29900 5724 S 8
2559 12658 T 5
21546 30300 S 12
10309 1368 T 14
28797 18711 D 19
9242 25860 T 19
9879 8132 T 5
86 13498 S 13
15573 20279 S 3
32936 4195 D 14
34494 13676 D 9
15043 8919 D 11
27629 24125 T 3
9984 12794 S 5
17277 39047 S 10
12544 37366 D 9
17644 7572 S 2
11766 35637 T 14
9312 32891 T 1
38161 35661 S 14
16138 29246 S 12
2039 19212 D 13
18258 18384 T 12
12101 33079 D 16
650 10569 D 4
2557 14439 S 10
7329 7846 D 12
39858 6173 T 19
31771 39343 T 6
18554 33506 S 18
8241 38856 S 9
31934 28286 T 11
38854 3111 T 18
17550 38133 S 2
5978 34905 D 5
1078 7051 D 11
6393 13001 T 6
2859 28835 D 1
27690 38422 T 8
26707 34228 T 1
37338 31665 T 4
29798 25653 D 16
20558 15539 D 8
22589 8848 S 18
21848 33841 T 4
22676 28387 D 9
23160 19948 T 15
14175 20304 T 1
8321 7803 T 10
33455 4275 T 11
16165 20910 S 2
26109 2831 T 14
36672 30717 T 9
15455 17522 T 12
33821 1458 T 6
18114 29314 S 6
33468 24016 S 10
28290 3850 T 3
21111 25635 S 5
24818 16348 D 18
7064 36892 D 5
10765 15953 D 6
13763 18667 D 6
4332 13844 T 3
37860 31915 D 1
35764 11062 T 14
33048 22865 T 17
39212 28323 T 3
21566 29243 S 4
5196 35332 D 5
10351 38548 T 14
12392 18197 S 17
10111 26257 S 3
33670 16057 T 5
38921 35897 T 11
20571 36638 T 14
25881 14960 T 3
6644 24084 T 12
18983 9921 T 13
28117 33211 D 7
15819 27079 S 1
3135 12256 S 18
4504 33490 T 19
30127 26355 T 18
37666 18028 S 5
2111 9818 T 17
19738 2033 D 1
35243 3146 D 16
30224 35588 S 15
7843 5809 D 6
39298 13713 D 9
36419 20981 D 1
39008 5217 S 7
11386 12398 S 3
10782 23732 T 8
26878 30465 T 5
26052 23042 S 5
28851 23984 T 5
37696 36361 S 7
17341 12059 D 8
13627 15646 D 10
28043 25083 D 7
8814 520 T 15
27336 7342 D 8
30383 1362 S 18
25346 38926 S 19
35286 6712 D 12
15122 34408 S 9
10053 31847 T 15
16929 15302 T 15
12173 27175 D 5
34516 15984 T 10
17345 1933 T 16
37210 29623 D 2
32687 28293 T 9
22700 19503 D 1
7701 32075 D 12
7376 9525 D 6
36699 17211 D 19
29546 10062 T 16
8346 2003 S 9
27978 20718 D 7
9010 28580 S 5
4434 10434 T 18
2508 37065 S 13
2941 39837 T 1
13399 26599 T 5
33012 32374 S 8
30728 4821 D 12
21890 34019 D 11
18950 16895 D 16
23680 28826 T 12
22242 21336 S 13
17524 3614 S 15
26564 1083 S 9
29808 32755 T 10
37575 20549 D 14
14567 31311 D 19
4557 14728 T 13
39905 1471 T 18
19158 35902 S 10
35867 21206 S 9
22288 17821 S 15
10575 11993 T 17
32541 20924 S 13
8587 19735 S 10
34462 2928 T 18
750 8506 D 6
4407 12897 D 4
34102 542 D 16
18362 10115 S 10
22108 6519 T 3
27443 6458 D 5
26192 4136 S 13
7063 3254 T 7
11759 20587 T 1
33483 37009 D 8
37550 20900 T 16
31015 10566 T 11
17085 23691 S 10
30148 31283 S 6
31771 38781 S 7
2034 37418 S 4
14356 23418 D 18
20426 28155 S 15
9055 17506 S 17
24423 27787 D 8
11477 26366 S 15
14001 35643 D 5
30776 360 T 18
34129 303 T 3
23721 21966 S 9
10121 29856 T 3
3713 8709 D 8
36495 21488 T 13
7853 24731 D 14
16725 12963 T 17
9675 17634 S 2
17936 35965 T 4
17931 6721 S 15
36577 20626 S 13
29334 15523 D 19
37010 10770 T 4
31852 21505 S 7
34467 36097 D 2
13730 9088 T 6
5052 38342 D 14
5063 28178 T 15
8803 16 D 12
15538 19407 D 18
26528 32227 S 11
13731 29531 S 6
25627 39381 S 17
8468 38393 T 14
36735 13398 S 3
1576 29293 T 12
29308 34417 S 19
10175 6942 S 12
39169 20208 S 5
9738 34738 T 14
30470 18842 T 2
17234 11150 S 2
24547 30717 D 8
16361 11902 T 1
6319 23125 D 10
30067 13313 S 1
33521 13682 T 13
8419 12285 T 8
31126 11454 S 16
22603 35690 T 16
22758 27146 D 10
39048 15178 D 19
34655 708 S 1
10372 16812 S 18
30494 8791 D 5
21075 23883 T 6
31689 21033 T 8
13074 28293 D 17
11790 119 S 15
11648 28792 D 3
25851 16172 T 10
32983 37680 T 11
6471 29023 S 18
9257 5595 S 19
22980 38415 D 3
23059 25731 T 3
25849 12241 T 14
37384 7294 S 7
19817 31172 T 8
25203 8625 T 1
33999 4070 D 12
9665 37074 D 2
35488 8491 S 11
34221 2340 D 1
10932 11781 S 12
19075 10419 T 16
37942 3708 S 6
8684 37021 T 14
1090 19442 S 6
16515 39192 D 15
7682 10205 T 12
12544 292 S 1
12072 24944 D 17
31715 12395 T 16
12454 30782 T 15
24154 20321 T 4
36114 22459 S 2
21650 21154 S 12
31358 11529 S 15
11820 38611 D 18
19907 4573 T 7
16967 30481 T 18
21262 6780 T 14
27100 27080 S 5
5890 12063 T 16
33216 13175 T 3
24703 33510 S 7
28473 1256 D 3
5828 20856 D 3
11336 17626 D 2
24405 15474 D 5
38905 14079 T 18
22493 19613 T 11
29139 30963 T 13
20824 17810 T 1
19065 16182 S 8
37037 34024 T 13
11650 8953 T 18
20778 20742 T 5
34820 24034 T 15
39998 38568 T 14
29530 18709 S 18
36518 38747 D 17
11280 33675 T 13
27698 29917 D 18
38869 3065 T 16
23806 21070 D 15
5103 5563 D 9
4131 10716 D 5
29424 22621 D 9
21367 12718 S 8
2744 20106 T 15
10022 3057 T 19
6121 6948 T 5
28017 5976 D 15
11539 22599 D 2
33315 17862 D 3
36834 31453 S 10
4170 28312 S 1
4770 861 T 19
3917 16196 S 14
23143 30329 S 5
32657 26626 S 19
5577 27903 D 6
2116 7302 D 7
38754 8418 T 9
36730 20696 T 13
17908 32596 S 9
5143 18082 T 11
8410 13585 D 1
36562 29129 D 13
13383 6882 D 18
10536 8064 T 8
16481 24297 S 17
1344 158 S 8
32753 12757 D 2
30838 18344 T 11
31928 7384 S 5
32864 27332 T 10
30566 20711 T 14
28774 28892 S 12
9540 4360 T 10
4518 18579 T 12
31335 16616 T 15
31312 6753 S 3
10489 7139 D 17
34470 31411 S 4
12121 27692 S 10
12936 25580 D 8
29939 10018 T 19
24949 5251 D 10
18218 15946 S 1
19051 5281 T 19
8771 33551 D 9
21313 2487 S 5
26531 3465 T 5
25396 25881 D 8
35898 37057 D 12
38659 30571 D 17
2869 20991 S 5
26271 8228 T 3
38131 698 D 12
39537 11962 S 10
11779 32609 D 13
14841 32879 T 12
29936 11354 S 3
38276 14120 S 1
35110 20931 D 9
29158 30870 D 3
31568 36460 S 18
8421 5014 D 10
37622 35405 D 11
24635 18936 T 4
26641 3840 S 15
14312 34041 S 18
14971 5474 S 15
36343 28980 D 3
25439 23554 T 14
24919 28886 S 5
20642 16838 D 14
32126 7259 T 3
7450 12065 D 2
6106 26094 T 16
27919 7390 T 5
32721 38380 D 8
18285 23887 D 3
9125 7836 S 16
24674 13450 D 4
20708 7592 S 18
19656 28302 S 11
10747 30155 S 7
37544 13800 D 11
8531 31447 T 9
11686 5849 S 14
10037 8466 T 4
18267 1969 T 5
9560 32479 D 6
20780 26103 T 6
16257 3572 D 5
13723 9467 S 11
37265 37894 S 3
95 31791 D 9
256 33038 T 13
31358 5403 S 15
37881 30032 D 17
16135 23218 T 19
23141 33080 D 3
38898 32014 T 1
29907 20889 T 18
12679 23926 S 19
13315 34026 S 10
35780 30709 S 18
20740 17479 T 11
696 11562 S 3
993 17215 D 11
9228 32520 D 16
13408 30219 S 2
14144 11025 S 18
5051 12233 D 5
2941 23126 T 15
36956 32218 D 2
3780 35226 T 8
8792 31242 D 11
23761 33417 T 5
23635 28046 T 14
35423 4031 D 12
16263 39126 D 5
18603 21200 D 18
13417 12492 D 9
7717 23751 D 16
11344 15685 D 11
9101 37085 T 4
21483 933 D 4
4963 37508 S 9
36633 4086 D 7
25285 32366 T 8
4857 33055 T 17
13157 23272 S 16
35308 12661 T 7
9746 932 S 13
38216 9414 S 8
6921 14564 T 11
18649 10239 T 13
2605 34986 S 19
28040 291 T 16
19915 38169 T 16
7182 38005 D 14
38936 5827 S 14
15240 5341 D 5
19904 10141 D 9
20379 26258 T 12
21243 30527 T 6
30818 39533 T 12
34053 32527 T 6
30531 38286 S 5
465 15369 D 12
20709 12354 T 6
18846 1687 T 13
27945 34352 D 2
24879 38058 D 1
33942 21651 T 5
10529 1435 T 6
36073 92 S 13
11812 35253 S 6
7607 28215 T 12
29902 28647 S 16
19351 29643 T 5
27700 34557 D 15
16207 31758 T 2
29544 31567 S 14
28010 32782 D 19
28035 16152 S 10
4366 18177 S 2
6824 29528 S 5
19170 28200 T 6
22756 35733 S 16
27490 27201 S 9
15120 31603 S 12
24384 6560 D 16
19063 24347 D 13
2524 15558 S 7
1437 18863 S 14
7062 14977 D 4
10709 5040 S 6
28592 39883 D 19
27837 35990 S 14
2550 38845 D 7
19544 21751 D 4
33660 8143 T 15
23357 15988 D 19
27316 32231 S 19
33622 34419 S 19
34301 29562 T 14
25552 21819 S 18
17015 8050 D 9
26152 36512 T 11
4654 2740 S 17
15079 19664 D 18
8246 24068 T 17
18486 18397 S 16
7959 35410 D 8
17228 18335 D 1
22736 9433 T 5
5944 2128 T 19
1219 32661 S 6
12324 6088 D 17
30155 8164 D 5
26560 31922 T 14
27331 5405 D 19
20092 27748 T 1
37181 15008 S 9
13487 33116 D 10
25777 1382 S 17
3822 2397 D 12
10560 26511 S 1
14784 9450 S 19
14855 5072 T 4
29171 27233 T 14
38592 38542 S 9
28009 32251 S 13
33632 6842 S 12
5590 12313 S 12
38823 19452 S 5
28902 30313 S 12
35384 7801 T 3
31385 18232 D 11
13125 33083 D 4
21685 14245 D 7
17438 12210 S 9
24522 29605 D 14
5409 37853 T 2
24517 38079 D 14
2231 18525 D 12
36756 4415 S 5
33850 11052 S 8
21648 14987 S 17
23549 29027 T 4
18631 3049 S 9
37253 13772 S 12
8202 5468 T 16
23992 35179 D 8
39594 20340 S 17
31391 30697 S 19
2035 25234 T 5
14260 19643 T 14
22691 14122 D 8
27894 27980 D 15
33448 36084 T 17
31263 3276 T 3
23615 14221 T 7
1269 15033 T 10
266 25573 T 12
5216 18890 S 12
33012 20695 S 8
5026 2264 T 13
38347 8933 D 17
12209 3153 T 8
13726 26521 D 8
1554 20630 D 3
6202 3535 S 6
22424 20110 S 4
37156 36227 D 11
34842 31450 D 8
36734 5621 T 3
5125 28668 D 6
11541 37352 S 7
17981 8492 T 2
12026 23959 D 2
420 23977 S 13
16555 24335 S 3
12136 33113 S 9
35085 16435 T 8
5103 7983 D 5
5334 5606 D 3
14097 37351 S 3
17662 28501 S 19
8829 8567 D 1
29253 8115 S 18
37579 34065 T 17
10499 17123 D 3
25105 4633 S 14
6590 11034 S 16
4737 6653 T 9
31506 9140 D 11
14058 12485 D 5
20599 15198 T 14
9262 4010 D 10
17484 32766 D 18
37398 16660 T 9
24045 28535 T 5
31540 16890 S 6
22381 8008 D 10
16844 5446 S 17
20644 33502 D 4
33863 11866 D 11
4631 30434 D 10
3445 32367 S 15
17253 16096 T 4
29337 27447 D 15
31806 11566 S 1
13363 33310 T 13
26811 7118 T 2
18983 47 S 12
5768 31361 T 14
20079 20711 T 2
36807 12970 D 12
36768 34311 S 5
5876 35070 T 13
28379 28722 T 4
35839 22562 D 1
37896 9642 T 7
37354 13130 S 9
33841 2279 D 16
11600 13590 T 13
7900 3704 T 8
38773 19571 T 9
8292 28016 T 6
6929 19963 S 8
29604 2793 D 15
15922 6770 T 5
9048 11856 T 12
21798 6253 T 10
9956 15011 S 17
30933 18244 D 16
6259 23628 T 18
3590 7712 T 9
10504 8257 T 18
15026 13594 S 4
21801 25650 S 16
31902 22790 T 2
34152 22174 T 11
417 35521 S 2
19148 13068 T 14
20779 19630 T 19
24238 17837 T 4
27782 39300 S 19
21302 13463 T 8
32605 35530 T 11
14055 18349 D 11
13869 25202 T 5
38269 19117 T 18
35099 9792 T 18
27629 9794 D 8
5445 30990 T 14
804 19932 S 3
11813 4064 S 15
22413 24707 D 19
9908 6891 S 8
22359 26808 S 19
36600 22959 T 5
29104 8095 D 11
39084 6389 S 10
22672 6650 T 16
10713 6162 S 14
30868 9745 T 2
12987 4110 S 18
30917 28878 S 5
8188 5946 D 17
14040 36788 D 1
39528 38539 T 19
5188 35359 T 4
1520 22441 T 15
32185 27486 T 10
27947 31168 S 8
16397 9668 S 16
15613 3530 T 2
36669 2768 S 10
1306 4839 T 19
36549 16835 T 14
39275 20474 T 2
4312 9024 D 8
192 29848 S 7
39515 2908 T 11
6437 15749 D 2
18516 36609 D 13
1447 39453 D 7
16287 37764 S 8
18237 11926 D 3
20949 36353 S 11
26200 14982 D 2
14241 24307 T 6
55 38324 D 16
34932 4840 T 2
4292 10114 S 4
7877 15843 T 6
24120 35863 D 7
32215 8874 D 13
20207 5695 S 19
30001 37672 T 15
32347 24313 S 17
29152 25128 D 13
35241 39787 S 12
11981 2865 S 4
38727 16002 S 1
24875 16430 S 8
18476 9834 D 12
3858 3708 S 17
24372 25267 T 16
10395 32544 T 3
32330 13691 D 2
12907 19741 T 9
35742 34280 S 3
7061 4633 D 15
10819 10632 D 19
10691 17950 T 10
3217 27064 T 6
19608 8254 T 8
21944 17052 D 19
36792 5711 S 9
39990 38114 S 4
39098 27900 T 15
38531 19302 D 18
37252 24526 T 13
7941 5569 D 4
10174 26026 T 3
3078 1139 D 18
3201 22507 S 19
16972 38253 S 10
22504 35531 D 9
11184 35983 T 2
20508 19943 D 7
21864 8387 T 13
34413 888 T 8
38378 177 T 19
19035 15167 S 1
9772 7713 S 9
39595 23467 S 16
15801 25322 D 10
5265 17170 T 5
21909 26160 D 7
23400 32374 S 14
32550 32927 D 6
4446 17179 S 6
21243 5072 T 19
24890 5207 D 18
30529 3531 S 8
17052 10811 S 17
36970 23843 D 1
16216 14497 D 3
3776 14556 D 8
28087 13347 T 2
14771 17983 S 15
19542 14484 D 2
14366 33700 S 14
4510 10541 S 11
34383 31064 T 6
1913 9401 S 5
20309 25121 S 8
34819 21752 S 8
39734 36944 D 2
7779 5950 T 6
36002 24261 T 18
34801 25697 D 15
16760 5598 T 11
14998 8201 D 11
33321 23674 D 11
5425 6831 T 4
3774 36032 D 7
1981 2833 S 16
23445 36312 S 18
22008 25890 T 16
27839 36266 T 2
818 27206 S 14
10879 23602 S 5
30432 5411 D 1
1442 31302 S 3
34134 32157 D 7
24820 25304 D 1
7546 28660 D 15
21277 8441 D 18
31998 21770 D 12
5371 20266 S 12
25677 29697 T 7
20998 28467 T 7
16975 17352 S 17
2655 13941 T 15
38952 39623 T 2
4416 36507 D 18
18276 3959 T 15
24224 11172 S 14
868 38509 S 19
26975 9317 D 8
26668 15114 T 19
29054 7067 S 16
6689 37809 D 12
30668 32312 S 8
32622 39509 S 1
10681 37443 S 10
35951 5522 D 2
14838 15817 S 8
30930 25319 S 11
28737 19405 D 12
13566 34330 D 2
26641 39453 S 7
38961 31171 D 3
24966 4611 T 9
6484 36361 T 5
8530 16121 D 3
37791 39061 S 10
14818 9188 D 15
3518 13888 S 18
9692 34845 T 17
22368 27286 T 17
28248 17593 S 14
10305 17496 D 18
33617 27933 D 13
23345 30438 T 2
35977 28941 S 14
39180 11862 D 11
3059 24479 D 6
11764 21222 S 7
38814 10061 S 7
27557 39847 S 2
24131 38948 S 9
29385 23216 T 17
8508 28533 S 9
36746 3562 T 7
28040 26783 S 13
4356 10690 T 14
20751 19961 T 2
19808 29295 S 11
28243 27465 T 18
7033 9754 D 14
34638 16899 T 12
20460 32487 S 7
15621 12767 D 4
23457 29875 D 3
9835 24489 D 1
10135 20103 S 6
3919 30400 T 13
153 4399 S 1
17649 38773 S 8
31259 13711 D 15
26477 36669 D 9
26543 2705 D 12
23545 8411 S 4
28513 1358 S 16
28110 37115 D 19
1513 18928 T 11
17700 1928 D 9
11990 9285 D 8
5953 35397 S 9
34453 7945 S 9
12708 33003 D 19
34361 36434 S 9
29900 22441 T 17
1368 22838 T 19
21117 13251 S 16
22535 32919 T 7
24667 25378 D 19
33322 35262 T 6
28265 37845 T 2
30631 22659 S 2
5099 37584 T 10
16774 7923 T 14
21173 2615 D 13
31885 11623 S 10
37000 2231 S 10
33845 25487 T 13
23331 25358 D 2
8016 27938 D 14
25521 35488 S 17
3411 34170 T 10
33136 23883 S 9
31857 9539 T 12
11769 29942 D 17
11780 37285 S 3
22642 14213 S 8
2150 32617 D 6
28104 16056 T 11
10225 22851 D 18
3085 37090 T 18
6628 19004 S 11
5297 28380 T 18
25664 37137 S 12
7702 10311 S 13
39279 35438 T 16
11493 16541 D 15
39391 27696 D 1
21137 2510 T 5
21513 6620 S 16
34999 11928 D 7
5416 5124 T 12
11787 13337 S 9
8774 9544 D 3
26084 10047 D 6
37742 12465 S 1
11326 14421 D 1
21040 34561 D 17
6488 12585 D 15
14061 7426 D 8
17115 691 T 2
10235 31710 D 6
1756 33543 S 7
2360 2445 S 18
13218 10425 S 14
1337 11576 S 5
20513 32402 T 17
36179 37451 S 16
38142 10033 S 3
38094 30742 T 9
20636 15541 T 13
14337 39480 S 17
6256 32258 S 14
185 21161 S 12
9914 27848 D 15
25298 24743 S 12
34776 3973 S 4
34714 18267 D 13
30159 13823 D 5
9654 27727 S 7
16336 2915 T 6
20427 27974 D 14
12173 5189 T 9
29932 37575 S 19
1547 34482 S 3
12748 32052 T 7
5874 39008 D 16
23086 28505 T 14
27771 36698 D 6
24671 2212 T 4
7401 20374 D 13
17949 628 T 6
31462 21372 T 14
13424 12771 D 1
8130 39923 T 12
28427 8020 D 18
4717 31982 S 12
34194 15632 D 2
